text,label
35岁房产中介店长加班心梗离世 人社局已介入,0
540万大奖2个月无人认领！找不到人视为弃奖,0
35岁中介下班后突发疾病离世，朝阳人社局已介入,0
这场雨已达中雨量级，预计未来2小时降雨维持,0
6家定点医药机构新增“互联网+”医保服务,0
鼓励“一人公司”！22条举措优化人才服务,1
首家AI医院集团落地北京 AI医疗进入“四化”阶段,1
今起，京张高铁试点“自行车随身行”，88元/辆！,0
2026年入夏较常年偏早10天,0
“私家车多次别挡救护车”，交警通报,0
暴雨中的感动！一件雨衣，是与市民持续20年的约定,0
湖南衡阳一商铺发生火灾 造成5人死亡1人受伤,1
山西矿难涉事企业去年曾被罚 实控人拉煤炭跑运输起家,1
皮卡坠桥致10人遇难 幸存者：当时已做好死亡的准备,0
标价1980元的三亚酒店海景房仅需1分钱 酒店：会留房,0
中国公司在国内起诉欲"抢回"安世半导体 索赔80亿元,0
阿姨在苹果手机下载"指南针"马上卸载 半年被扣1608元,0
单亲爸爸和2个罕见病儿子欲捐献遗体 73岁奶奶哭了,0
35岁房产中介店长加班心梗离世 人社局已介入,0
柳州遇300年最强地震 7旬奶奶:掏空积蓄盖的房不能再住,0
女子扔垃圾遇俩"醉汉"耍酒疯 回家发现家里被装摄像头,0
美"星舰"按计划完成第12次试飞 在印度洋成功溅落,1
泰国王室发布声明：长公主昏迷近3年半后病情恶化,0
三星让韩国人心乱 靠上班就能买保时捷刺痛打工人神经,1
三星决定推迟罢工 苹果谷歌英伟达集体松了口气,1
韩媒称"中国人大举购入首尔江南区公寓" 遭李在明痛批,0
欧盟被指考虑请默克尔等人出山 代表欧盟与俄开启对话,1
国际足联已在探讨2030年世界杯扩军,0
中国人最容易过敏的食物，你可能天天都在吃,0
中国最惨大学专业，已经开始招不满人了,0
中国人前任图鉴：一边拉黑，一边视奸,0
比房价还贵的墓地，中国人不买账了,0
月销10w+的“拉夫抡人”，都是谁在买？,0
中国人最爱的生活方式，正在疯狂致癌,0
假期去博物馆的人，已经后悔了,0
中国人遵守了20年的文明行为，居然是错的,0
最能实现拉屎自由的食物，中国人却越吃越少了,0
准点拉屎，你就赢过了90%的中国人,0
高空腹血糖，悄悄谋杀东北人,0
花钱“挨打”的中国年轻人，养肥了这家公司,0
俄罗斯试射具备核打击能力的高超音速导弹,0
爆炸致82人遇难 留神峪煤业存违法行为,1
国常会:研究推进全国统一大市场建设有关工作,0
妙鸭相机被曝已解散团队 曾靠9.9元AI写真爆火,0
丁薛祥：加快构建全国一体化算力网,1
长鑫科技 预计上半年净利至少500亿元,0
史上最大IPO来了！马斯克：一股不卖,0
中美在韩国举行经贸磋商,0
我戴着摄像头上班，正在帮AI抢走我饭碗,1
钠电池产业化提速 头部企业扎堆四季度量产,1
美银策略师警告：SpaceX与OpenAI超级IPO或引发史诗级科技泡沫,0
小鹏副总裁回应网传GX销量暴涨致MONA新车延期发布：假新闻,0
人类首次！中尼科考队完成珠峰顶峰透底冰芯样本钻取,1
神舟二十三号发射在即，发射窗口气象条件整体向好,1
探索数智赋能新路径，E网同心汇走进华为和广东金赋科技,0
雷军承认“砍掉标准版”失误，小米发布YU7两款新车再战特斯拉,0
发射流程进入临射倒计时，神舟二十三号船箭组合体蓄势待发,1
小鹏总裁回应小鹏GX销量暴涨致MONA新车延期发布：假新闻 L03不受任何影响,0
芬兰大学说新型AI聊天机器人有助抵抗错误健康信息,1
Meta大规模“AI裁员潮”到来，凌晨发通知：裁员8000人,1
本周AI项目推荐 ：逆矩阵、Manifold、Liber AI...又一批世界模型公司冒了出来,1
豆包当“交易判官”：买方成打假人，卖方是二手贩子,0
科技“顶流”来了，硬核成果集结！2026年四川省科技活动周暨蓉城科学之夜启幕,1
他们是航天火箭“官方摄影师”,1
AI周报|马斯克在AI“世纪诉讼”中败诉；谷歌发布数十个产品更新,1
不止送外卖！死磕9年，美团无人机业务对外开放能力，毛一年：最终目标形成规模化盈利,0
能随意窃取数据！这款热门 AI 编程工具曝重大隐患,1
AI成功率从20%飙到100%！只需一个Harness文件,0
AI四巨头内部报告首度公开：AI正在学会撒谎求生,0
京东将发动数十万人给机器人“当老师”，打造全球最大具身智能数据采集中心,0
中超-英博2-0送蓉城2连败+跃居第2 马莱莱马马杜建功,0
中超积分榜：蓉城连败领跑，英博升至第2，津门虎锁定半程垫底,0
TA：美国队世界杯名单确认，特斯曼落选,0
赫伊森：这一年我学到很多也成长很多，会继续为皇马全力以赴,0
G3尼克斯121-108战胜骑士 球员评价：5人优秀，2人及格，4人低迷,0
重签麦科勒姆成为老鹰休赛期重要任务 他曾在季后赛奉献2场关键球,0
【复盘】意甲冠军收官战，属于金左脚和“自己人”,0
法网第1比赛日看点：德约迎创纪录之战，中国选手3人冲击次轮,0
森林狼担忧爱德华兹走人 字母哥或欧文他们能交易来谁？,0
周也恋情曝光！拥抱热吻，手伸进男友衣服,0
方媛谈首次录综艺感受，因大家安慰而突然落泪,0
央视《主角》最令人讨厌角色，温柔下的伪装算计，才是最难防的刀,0
首部AI长片戛纳首映，15人砸40万算力,0
周也恋情曝光！对象身份不简单,0
夏天衣服不用买太多，每个人都可以准备一条白裙子，大方百搭,0
亚麻，让人爱的高级清爽,0
夏天适合穿裙子，建议每个人都准备一条印花裙，好看又亮眼,0
为了攻克渐冻症，她把自己活成了“破冰”的人,0
谁曾想这条裙子能让人心动这么久，夏天一定要试试这些搭配,0
夏天别总穿黑衣黑裤，这几款格纹单品也很实用，百搭又高级,0
舒适智能配置满 昊铂S600开着没那么运动也挺好,0
最给力闪充车？ 第三代元PLUS上市11.99万元起,0
后驱+闪充+激光雷达 第三代元PLUS上市售11.99万元起,0
如果抱紧华为大腿，玛莎拉蒂能否翻身？,0
怎么舒服好用怎么来 大众全新纯电大5座SUV来了,0
探店比亚迪海狮05 EV，加量也加价，值吗？,0
本田纠偏，重构“全新四轮”,0
或2027年发布 宝马X1 M40 xDrive谍照曝光,0
限量5台 劳斯莱斯库里南特别版官图发布,0
2027年开业！南通2大商业“复活”，你更期待哪个？,0
克而瑞好房点评网 | 龙湖·御湖境二期轨道交通与通勤便利深度解读：地铁500米内真·轨道盘，顺义主城通勤价值TOP3,0
房山国贤府：中建智地用一场超极交付，完成国贤府IP的闭环,0
从北京2026行政东迁，看懂全国房价底层逻辑+未来买房方向,0
北京标王，在土拍市场刷业绩,0
大兴这个村发布2则征地预公告！,0
补偿安置方案来了！丰台这2村征地！,0
嫦娥七号计划于下半年择机发射,1
巴基斯坦航天员将执行短期飞行任务,1
视频：升级版星舰发射升空 火箭喷射巨大烈焰腾空,1
228人遇难 法航与空客被判过失杀人,0
厦门航空一航班自福州起飞后返航 机场：飞机发动机故障,0
神舟二十三号发射在即 三舱构型长什么样？,1
神舟二十三号发射在即 各系统准备就绪,1
C919国产大飞机定制座椅首次在西部展出,0
揭秘神舟飞船回家“最后一道防线”,1
多名旅客反映“20寸行李箱不让免费带上飞机了”,0
跑道旁路面塌陷 纽约拉瓜迪亚机场数百航班受影响,0
两大韩国航司合并倒计时 中韩航线竞争再升温,0
神舟二十三号载人飞行任务各系统进行发射场区演练,1
机票200元机建燃油220元 部分航班票价“倒挂”,0
哥伦比亚西南部发生无人机袭击 致1军官死亡6人受伤,0
老人订反航班方向退机票被扣700元,0
美2架战机飞行表演时相撞坠毁 现场腾起黑烟,0
中国成功发射千帆星座第9批组网卫星,1
淡季不淡 国内航司4月客座率保持高位,0
SpaceX拟推万亿火星薪酬方案,1
美货运“龙”飞船为国际空间站送货,1
外卖这样吃，便利又健康！很多人不知道,0
干细胞能让人“返老还童”吗,0
中疾控发布春夏呼吸道疾病防护指南,1
蓝莓也有粉色的，专家：不等于营养价值高,0
出轨的人到底在“馋”什么？,0
干细胞抗衰4大误区 90%的人都中招,0
他“改邪归正”了，果然人老了会变得善良？,0
果然，韩国最该申遗的是编剧,0
3种皮肤外用药膏 很多人都用错了,0
为什么70%的成功者都是内向的人？,0
贵州一车主察觉发动机异常，开盖瞬间令人头皮发麻,0
爆炸致82人遇难 留神峪煤业存违法行为,0
搭载华为乾崑六件套/纯电增程双动力 东风奕派M8亮相,0
我戴着摄像头上班，正在帮AI抢走我饭碗,1
爆炸声中又迈一步！拆解马斯克“十二飞”,1
我国瞄准明日23时08分发射神舟二十三号载人飞船,1
中考数学几何，学会这模型秒杀难题,0
留神峪煤矿瓦斯爆炸事故救援,1
那些长期“控碳水”的人 后来怎样了？,0
高技术产业使用外资同比增长20.3%,1
山西留神峪煤矿瓦斯爆炸事故已致82死 仍有2人失联 ,1
煤矿爆炸时247人下井仅记录124人  ,1
山西留神峪矿难涉事企业有重大违法行为  ,1
煤矿部分矿工没带定位卡 伤亡多原因：瓦斯爆炸冲击波非常可怕  ,1
重庆永川暴雨致17人失联 1人死亡 ,1
美食广场打不过商场B1：北京开了26年的知名美食广场将关闭  ,0
煤矿爆炸时247人 下井仅记录124人,1
重庆永川暴雨已致17人失联3人死亡 ,1
中俄教育年为中俄关系发展注入动力,0
实时播报巴基斯坦军方：巴陆军参谋长赴伊斡旋取得积极进展,0
专题煤矿爆炸时247人 下井仅记录124人,1
现场：全新升级版“星舰”首飞成功 飞船溅落印度洋后剧烈爆炸,1
